Category,Name,Description,Price,Note,,,,,,
,เมี่ยงปลากระพงทอดทรงเครื่อง,,340,,,,,,,
,เมี่ยงปลาซ่อนทอดทรงเครื่อง,,340,,,,,,,
,เมี่ยงปลากับทิบทิมทอดทรงเครื่อง,,320,,,,,,,
,ปลานิลทอดน้ำปลา,จาน,140,,,,,,,
,ปลานิลทอดน้ำปลา,ตัว,250,,,,,,,
,ปลากระพงทอดน้ำปลา,จาน,160,,,,,,,
,ปลากระพงทอดน้ำปลา,ตัว,320,,,,,,,
,ปลาซ่อนทอดน้ำปลา,ตัว,320,,,,,,,
,ปลาทับทิมทอดน้ำปลา,จาน,160,,,,,,,
,ปลาทับทิมทอดน้ำปลา,ตัว,290,,,,,,,
,ปลากระพงลุยสวน,จาน,160,,,,,,,
,ปลากระพงลุยสวน,ตัว,320,,,,,,,
,ปลาทับทิบทิมลุยสวน,จาน,160,,,,,,,
,ปลาทับทิบทิมลุยสวน,ตัว,290,,,,,,,
,ปลานิลลุยสวน,จาน,140,,,,,,,
,ปลานิลลุยสวน,ตัว,250,,,,,,,
,ปลาซ่อนลุยสวน,ตัว,320,,,,,,,
,ปลากระพงสมุนไพร,จาน,160,,,,,,,
,ปลากระพงสมุนไพร,ตัว,320,,,,,,,
,ปลาทับทิมสมุนไพร,จาน,160,,,,,,,
,ปลาทับทิมสมุนไพร,ตัว,290,,,,,,,
,ปลานิลสมุนไพร,จาน,140,,,,,,,
,ปลานิลสมุนไพร,ตัว,250,,,,,,,
,ปลาซ่อนสมุนไพร,ตัว,320,,,,,,,
,ปลากระพงราดพริก,จาน,160,,,,,,,
,ปลากระพงราดพริก,ตัว,320,,,,,,,
,ปลาทับทิมราดพริก,จาน,160,,,,,,,
,ปลาทับทิมราดพริก,ตัว,290,,,,,,,
,ปลานิลราดพริก,จาน,140,,,,,,,
,ปลานิลราดพริก,ตัว,250,,,,,,,
,ปลาซ่อนราดพริก,ตัว,320,,,,,,,
,ปลากระพงพริกไทยดำ,จาน,160,,,,,,,
,,ตัว,320,,,,,,,
,ปลาทับทิมพริกไทยดำ,จาน,160,,,,,,,
,,ตัว,290,,,,,,,
,ปลานิลพริกไทยดำ,จาน,140,,,,,,,
,,ตัว,250,,,,,,,
,ปลาซ่อนพริกไทยดำ,ตัว,320,,,,,,,
,ปลาทับทิมทอดซอสสลัด,ตัว,290,,,,,,,
,ปลาทับทิมทอดกระเทียม,ตัว,290,,,,,,,
,ปลากระพงทอดกระเทียม,ตัว,320,,,,,,,
,ปลานิลทอดกระเทียม,ตัว,250,,,,,,,
,ไก่ทอดซอสสลัด,,130,,,,,,,
,กุ้งทอดซอสสลัด,,190,,,,,,,
,กุ้งทอดผัดบัตเตอร์ซอส,,190,,,,,,,
,ไก่ทอดซอสเกาหลี,,140,,,,,,,
,กุ้งชนไก่,,150,,,,,,,
,ปลากระพงชนไก่,,150,,,,,,,
,ยำกุ้งฟู,,170,,,,,,,
,คอหมูทอดเกลือ I ทอดน้ำปลา,,160,,,,,,,
,หมูกรอบทอดเกลือ I ทอดน้ำปลา l ทอดกระเทียม,,160,,,,,,,
,เอ็นข้อไก่ทอด,,120,,,,,,,
,ลาบหมูทอด,,160,,,,,,,
,ปีกไก่ ทอดน้ำปลา I สมุนไพร,,120,,,,,,,
,ปากเป็ดทอด,,120,,,,,,,
เมนูส้มตำ,ตำปูปลาร้า I ตำถั่ว I ตำแตง,,60,,,,,,,
,ตำไทย I ตำถั่ว | ตำแตง,,60,,,,,,,
,ตำไทยปู,,60,,,,,,,
,ตำไทยไข่เค็ม,,70,,,,,,,
,ตำชั่วไทย,,60,,,,,,,
,ตำไทย กุ้งสด I กุ้งสุก,,120,,,,,,,
,ตำปลาร้า,,60,,,,,,,
,ตำข้าวโพด,,60,,,,,,,
,ตำข้าวโพดไข่เค็ม,,120,,,,,,,
,ตำหอยแครง,,150,,,,,,,
,ตำถาดทะเล ไทย I ปลาร้า,,250,,,,,,,
,ตำถาดทะเลเดือด ไทย I ปลาร้า,,350,,,,,,,
,ตำถั่วหมูกรอบ,,150,,,,,,,
,ต่ำป่า,,60,,,,,,,
,ตำชั่ว,,60,,,,,,,
,ตำมะม่วง,,60,,,,,,,
,ตำแตง,,190,,,,,,,
,ตำแซลม่อน,,60,,,,,,,
,ตำมั่ว,,99,,,,,,,
,ตำมั่วทรงเครื่อง,,60,,,,,,,
ของทานเล่น,ปีกไก่ ทอดน้ำปลา I สมุนไพร,,120,,,,,,,
,แหนมซี่โครงหมูทอด,,140,,,,,,,
,เฟรันฟราย,,120,,,,,,,
,ข้าวเกรียบทอด,,100,,,,,,,
,คอหมูทอดน้ำปลา,,160,,,,,,,
,หอมทอด,,70,,,,,,,
,ขนมปังกระเทียม,,100,,,,,,,
,เอ็นข้อไก่ทอด,,120,,,,,,,
,ลาบหมูทอด,,160,,,,,,,
,ยำถั่ว,,80,,,,,,,
,รอแน่อร่อยนาน,,190,,,,,,,
,รอหน่อยอร่อยแน่,,170,,,,,,,
,หมูแดด,,130,,,,,,,
,เนื้อแดด,,150,,,,,,,
,สามชั้นทอดคั่วพริกเกลือ,,160,,,,,,,
,หมูกรอบคั่วพริกเกลือ,,160,,,,,,,
,ไก่สามอย่าง,,70,,,,,,,
,หนุมานคลุกฝุ่น,,150,,,,,,,
,เนื้อทศกัณฐ์,,150,,,,,,,
,หมูกรอบทอดเกลือ I น้ำปลา,,160,,,,,,,
,ปากเป็ดทอด,,120,,,,,,,
เมนูต้ม,ต้มยำกุ้งแม่น้ำ น้ำข้น I น้ำใส,ถ้วย,190,,,,,,,
,ต้มยำกุ้งแม่น้ำ น้ำข้น I น้ำใส,หม้อไฟ,250,,,,,,,
,ต้มยำกุ้ง น้ำข้น I น้ำใส,ถ้วย,170,,,,,,,
,ต้มยำกุ้ง น้ำข้น I น้ำใส,หม้อไฟ,220,,,,,,,
,ทะเลเดือด น้ำข้น I น้ำใส,ถ้วย,190,,,,,,,
,ทะเลเดือด น้ำข้น I น้ำใส,หม้อไฟ,250,,,,,,,
,ต้มยำปลาคัง น้ำข้น I น้ำใส,ถ้วย,190,,,,,,,
,ต้มยำปลาคัง น้ำข้น I น้ำใส,หม้อไฟ,250,,,,,,,
,ต้มยำหัวปลา น้ำข้น I น้ำใส,ถ้วย,150,,,,,,,
,ต้มยำหัวปลา น้ำข้น I น้ำใส,หม้อไฟ,220,,,,,,,
,ไข่ตุ๋น,ถ้วย,130,,,,,,,
,ไข่ตุ๋น,หม้อไฟ,200,,,,,,,
,"ไข่ตุ๋น หมูสับ,ไก่สับ",ถ้วย,150,,,,,,,
,"ไข่ตุ๋น หมูสับ,ไก่สับ",หม้อไฟ,220,,,,,,,
,"ไข่ตุ๋น เนื้อปลา,ปลาหมึก,กุ้ง,ทะเล ทรงเครื่อง",ถ้วย,190,,,,,,,
,"ไข่ตุ๋น เนื้อปลา,ปลาหมึก,กุ้ง,ทะเล ทรงเครื่อง",หม้อไฟ,280,,,,,,,
,"ต้มยำปลาซ่อน,ปลากะพง,ปลานิล น้ำข้น | น้ำใส",ถ้วย,190,,,,,,,
,"ต้มยำปลาซ่อน,ปลากะพง,ปลานิล น้ำข้น | น้ำใส",หม้อไฟ,250,,,,,,,
,หมึกไข่นึ่งมะนาว,หม้อไฟ,290,,,,,,,
,ปลากระพงนึ่งมะนาว,ถ้วย,190,,,,,,,
,ปลากระพงนึ่งมะนาว,หม้อไฟ,320,,,,,,,
